from,to,migration_count
raymond-james-financial-inc-,cardinal-health,1
juniper-networks,goldman-sachs,5
metlife,amazon,8
3m,willis-towers-watson,6
accenture,mattel,19
tiffany-and-co,comcast,4
costco-wholesale,johnson-controls,6
avery-dennison,gilead-sciences,9
agilent-technologies,mattel,2
allstate,pnc-bank,23
united-airlines,centerpoint-energy,2
helmerich-&-payne,target,1
labcorp,regeneron-pharmaceuticals,1
iron-mountain,aimco,1
gap-inc-,darden-restaurants,4
whirlpool-corporation,entergy,3
viacom,tiffany-and-co,11
m&t-bank,lowe%27s-home-improvement,6
unitedhealth-group,gartner,3
starbucks,exelon,4
united-technologies,symantec,3
caterpillar-inc,citi,14
consumers-energy,republic-services-inc,2
the-coca-cola-company,westrockcompany,14
raymond-james-financial-inc-,ge,1
kroger,the-kraft-heinz-company,10
nike,aimco,3
johnson-controls,charter-communications,3
starbucks,ihs,1
tsys,adobe,1
hp,keysight-technologies,7
lam-research,nordstrom,1
mgm-resorts-international,at&t,1
bank-of-america,netflix,5
american-express,ihs,2
fmc-corporation,jacobs,5
adp,c-h-robinson,7
pca,microsoft,1
williams-company,nextera-energy-resources,3
northern-trust,etrade,2
eaton-corporation,nextera-energy-resources,4
kohls-department-stores,capital-one,14
nike,capital-one,14
corning-incorporated,facebook,1
progressive-insurance,nordstrom,5
unitedhealth-group,keybank,2
duke-energy-corporation,macy,2
kinder-morgan,ibm,2
cintas,cisco,4
pvh,ebay,1
westrockcompany,harley-davidson-motor-company,2
fluor,h&r-block,3
rollins-inc.,ibm,4
autodesk,facebook,8
biogen-,advance-auto-parts,1
texas-instruments,starbucks,3
morgan-stanley,w.w.-grainger,3
devon-energy,wellsfargo,1
western-digital,johnson-controls,3
motorolasolutions,norfolk-southern,2
newellbrands,caterpillar-inc,2
citrix,northrop-grumman-corporation,3
ecolab,pentair,12
cadence-design-systems,unitedhealth-group,2
exelon,edison-international,1
western-union,iff,2
mckesson,dominion,2
t--rowe-price,hewlett-packard-enterprise,12
goldman-sachs,akamai-technologies,12
the-home-depot,foot-locker,10
f5-networks,autodesk,1
american-electric-power,robert-half-international,2
cerner-corporation,avery-dennison,1
hca,pentair,1
phillips66co,johnson-controls,3
nielsen,cboe,3
berkshire-hathaway,wellsfargo,1
exxonmobil,cerner-corporation,2
aflac,unionpacific,2
abbott-,synchrony-financial,1
arthur-j--gallagher-and-co,hewlett-packard-enterprise,6
c-h-robinson,itw,2
cisco,pepsico,8
comcast,dow-chemical,2
whirlpool-corporation,southwest-airlines,1
bd1,take-2-interactive-software-inc-,1
lennar,aflac,3
accenture,autozone,1
humana,celgene,1
the-coca-cola-company,hca,1
nucor-corporation,xcel-energy,1
yum-brands,ppg-industries,2
insidepmi,cognizant,4
torchmark-corporation,willis-towers-watson,3
valero-energy-corporation,kohls-department-stores,3
w.w.-grainger,ross-stores,1
pfizer,paychex,4
northern-trust,amgen,1
dte-energy,american-electric-power,5
google,fedex,5
advance-auto-parts,baker-hughes,2
macy,nextera-energy-resources,1
jb-hunt-transport-services-inc,fedex,6
whirlpool-corporation,firstenergy-corp,3
abbott-,prudential-financial,4
the-kraft-heinz-company,gap-inc-,1
activision,facebook,2
under-armour,chipotle-mexican-grill,4
motorolasolutions,merck,2
cardinal-health,waste-management,4
pentair,h&r-block,1
consumers-energy,verizon,1
travelers,pultegroup,1
morgan-stanley,freeport-mcmoran-inc,1
global-payments,tsys,5
mattel,eaton-corporation,6
mondelezinternational,equifax,1
tsys,anthem,1
caterpillar-inc,cbre,2
western-union,google,4
hasbro,bristol-myers-squibb,4
hca,garmin-international,1
cintas,unum,1
3m,ameren,1
kohls-department-stores,sysco,6
stryker,waste-management,2
yum-brands,abbott-,5
principal-financial-group,chubb,2
chubb,3m,1
cardinal-health,nektar-therapeutics,4
priceline-com,bank-of-america,3
raymond-james-financial-inc-,kohls-department-stores,1
willis-towers-watson,sysco,1
darden-restaurants,people%27s-united-bank,1
arthur-j--gallagher-and-co,ameriprise-financial-services-inc,1
advance-auto-parts,adm,2
dow-chemical,autozone,2
paccar,mckesson,2
danaher,american-water,1
fifth-third-bank,firstenergy-corp,3
kohls-department-stores,baker-hughes,1
tractor-supply-company,fifth-third-bank,2
aon,viacom,1
pfizer,starbucks,4
at&t,oneok,3
chubb,pepsico,3
ball,western-union,1
jpmorgan-chase,mohawk-industries,1
cisco,coty,1
tyson-foods,martin-marietta-materials,1
royal-caribbean,jpmorgan-chase,4
pfizer,itw,2
dow-chemical,visa,1
the-linde-group,northrop-grumman-corporation,1
gartner,pfizer,4
ameriprise-financial-services-inc,perkinelmer,1
harley-davidson-motor-company,abbott-,7
ross-stores,cbs-com,1
electronic-arts,international-paper,2
american-water,cummins-inc,1
bank-of-america,gilead-sciences,4
marriott-international,citrix,1
capital-one,nektar-therapeutics,1
amd,under-armour,3
masco-corporation,merck,1
goldman-sachs,cvs-health,5
labcorp,kimco-realty-corporation,1
microsoft,c-h-robinson,3
tjx,ebay,1
boeing,the-linde-group,1
avery-dennison,motorolasolutions,3
walmart,exelon,4
apple,dollar-tree-stores,2
vertex-pharmaceuticals,walgreens,1
hanesbrands-inc-,corning-incorporated,1
kimberly-clark,pentair,1
ims-health,humana,1
ihs,cboe,1
garmin-international,ebay,1
alliance-data,whirlpool-corporation,2
alliant-energy,pentair,1
charter-communications,united-rentals,1
amgen,hp,4
intuitive-surgical,lam-research,1
morgan-stanley,alexion-pharmaceuticals,1
unionpacific,capital-one,2
ameriprise-financial-services-inc,paypal,1
pnc-bank,the-hershey-company,2
amerisourcebergen,lowe%27s-home-improvement,2
iron-mountain,kinder-morgan,1
hasbro,goldman-sachs,1
the-cincinnati-insurance-companies,pfizer,1
assurant,lennar,1
citizens-bank,boston-properties,2
united-technologies,hasbro,2
cisco,etrade,4
aig,alaska-airlines,1
progressive-insurance,morgan-stanley,2
hanesbrands-inc-,citrix,1
3m,aflac,1
limited-brands,align-technology,1
medtronic,h&r-block,1
raymond-james-financial-inc-,walmart,1
wellsfargo,nisource,1
royal-caribbean,cintas,2
yum-brands,delta-air-lines,1
bny-mellon,humana,3
exelon,under-armour,1
hologic,corning-incorporated,1
iron-mountain,sherwin-williams,1
morgan-stanley,welltower,1
southern-company,fiserv,2
con-edison,raytheon,1
lowe%27s-home-improvement,allergan,1
campbell-soup-company,autodesk,1
johnson-&-johnson,mgm-resorts-international,1
xerox,csx-transportation,1
exxonmobil,mattel,1
consumers-energy,noble-energy,2
regions-financial-corporation,ecolab,1
biogen-,international-paper,1
advance-auto-parts,prudential-financial,1
xcel-energy,simon-property-group,1
travelers,colgate-palmolive,2
citrix,unionpacific,1
firstenergy-corp,varian-medical-systems,1
kimberly-clark,cvs-health,1
valero-energy-corporation,general-mills,1
american-express,coty,5
hasbro,cerner-corporation,1
sysco,pentair,1
hasbro,aig,1
alliant-energy,jacobs,1
dte-energy,albemarle,1
texas-instruments,tiffany-and-co,1
chubb,symantec,1
exxonmobil,constellation-brands,1
lincoln-financial-group,motorolasolutions,1
northrop-grumman-corporation,alliance-data,1
tsys,aon,1
marriott-international,southern-company,1
keysight-technologies,lam-research,1
flowserve,harris-corporation,1
foot-locker,cerner-corporation,1
texas-instruments,noble-energy,1
yum-brands,snap-on-tools,1
american-tower,cvs-health,1
eaton-corporation,fastenal,1
international-paper,comcast,1
dollar-tree-stores,bd1,1
perrigo,take-2-interactive-software-inc-,1
marathon-petroleum-company,wellsfargo,1
wynn-las-vegas,autozone,2
procter-&-gamble,fis,1
humana,ipg,1
w.w.-grainger,agilent-technologies,1
macy,southern-company,1
charter-communications,m&t-bank,1
kansas-city-southern-railway,centerpoint-energy,1
hewlett-packard-enterprise,agilent-technologies,4147
the-coca-cola-company,pfizer,85
microsoft,apple,891
broadcom,maxim-integrated,24
mastercard,cigna,6
hilton-worldwide,expedia,43
american-express,the-home-depot,34
chevron,exxonmobil,322
the-kraft-heinz-company,alcoa,16
verisign,symantec,343
american-airlines,intel-corporation,11
the-home-depot,newellbrands,65
jpmorgan-chase,bank-of-america,3405
hewlett-packard-enterprise,pfizer,191
walmart,parker-hannifin,11
lockheed-martin,pfizer,26
jpmorgan-chase,the-coca-cola-company,25
wellsfargo,weyerhaeuser,5
ebay,intel-corporation,27
exxonmobil,conocophillips,227
kimberly-clark,western-digital,1
general-motors,procter-&-gamble,104
mcdonald%27s-corporation,xerox,79
duke-energy-corporation,caterpillar-inc,9
the-home-depot,parker-hannifin,8
mondelezinternational,xerox,15
intel-corporation,travelers,4
pultegroup,adp,2
biogen-,amgen,112
the-j-m--smucker-company,kimberly-clark,9
charles-schwab,ge,14
ups,southwest-airlines,29
adp,discover-financial-services,5
general-motors,johnson-&-johnson,85
accenture,abbott-,98
