from,to,migration_count
bny-mellon,american-water,2
synchrony-financial,cognizant,1
boston-scientific,celanese,1
advance-auto-parts,tyson-foods,3
dollar-general,altria,1
procter-&-gamble,chubb,2
paypal,wellcare,1
charter-communications,robert-half-international,4
dow-chemical,stanley-black-decker-inc,2
xerox,henry-schein,3
franklin-templeton-investments,nasdaq-omx,1
nextera-energy-resources,the-home-depot,1
general-dynamics,resmed,1
fortinet,xilinx,1
darden-restaurants,host-hotels-&-resorts,1
netflix,broadcom,1
altria,dow-chemical,1
copart,unionpacific,1
lockheed-martin,intercontinentalexchange-inc-,1
hanesbrands-inc-,dollar-tree-stores,1
ulta,nielsen,1
ford-motor-company,allergan,1
assurant,nielsen,1
aflac,intel-corporation,1
red-hat,insidepmi,1
ameren,lockheed-martin,2
john-deere,regions-financial-corporation,1
discovery-communications,limited-brands,2
abbott-,coty,2
tjx,northern-trust,1
john-deere,davita,1
john-deere,comcast,1
simon-property-group,equity-residential,1
invesco-ltd,morgan-stanley,1
hca,raytheon,1
regions-financial-corporation,the-walt-disney-company,2
symantec,o%27reilly-auto-parts,1
autodesk,zimmerbiomet,1
carnival-cruise-lines,cognizant,1
davita,adp,1
borgwarner,cisco,1
morgan-stanley,national-oilwell-varco,1
us-bank,nrg-energy,2
national-oilwell-varco,bristol-myers-squibb,1
duke-energy-corporation,mckesson,1
qualcomm,halliburton,1
motorolasolutions,willis-towers-watson,1
masco-corporation,nucor-corporation,1
northrop-grumman-corporation,harley-davidson-motor-company,1
honeywell,bny-mellon,2
lam-research,american-express,1
hewlett-packard-enterprise,newmont-mining-corporation,1
us-bank,hasbro,1
citi,campbell-soup-company,1
macy,rollins-inc.,1
csx-transportation,martin-marietta-materials,1
southern-company,aflac,2
insidepmi,idexx-laboratories,1
m&t-bank,expedia,1
analog-devices,hologic,1
westrockcompany,harris-corporation,1
cigna,copart,1
cigna,twitter,1
microsoft,marathon-petroleum-company,1
twitter,viacom,1
yum-brands,cbre,1
zoetis,ims-health,1
amerisourcebergen,gap-inc-,1
johnson-&-johnson,medtronic,578
procter-&-gamble,johnson-&-johnson,806
nike,ralph-lauren,62
norwegian-cruise-line,royal-caribbean,152
exxonmobil,verizon,8
morgan-stanley,gilead-sciences,1
prudential-financial,ibm,177
fmc-corporation,boeing,7
the-coca-cola-company,bank-of-america,47
darden-restaurants,mcdonald%27s-corporation,12
jpmorgan-chase,first-republic-bank,82
nielsen,the-kraft-heinz-company,59
ecolab,aflac,2
intel-corporation,johnson-&-johnson,49
charter-communications,cintas,5
jack-henry-&-associates,jpmorgan-chase,5
pioneer-natural-resources-company,baker-hughes,9
jpmorgan-chase,jefferies,51
fastenal,3m,5
fis,accenture,64
texas-instruments,google,40
the-coca-cola-company,colgate-palmolive,77
jpmorgan-chase,best-buy,68
cme-group,goldman-sachs,20
johnson-&-johnson,kohls-department-stores,3
kinder-morgan,phillips66co,14
at&t,advance-auto-parts,26
m&t-bank,citi,172
ibm,abbvie,31
citi,nike,28
kimberly-clark,general-mills,73
autodesk,cigna,2
adp,bank-of-america,134
pnc-bank,itw,3
the-home-depot,oracle,14
visa,hewlett-packard-enterprise,59
parker-hannifin,avery-dennison,6
amd,halliburton,3
general-motors,air-products,10
us-bank,kohls-department-stores,20
dte-energy,comerica-bank,17
intel-corporation,lennar,1
yum-brands,jpmorgan-chase,7
ulta,at&t,18
adm,caterpillar-inc,38
ge,svb-financial-group,1
marathon-oil-corporation,valero-energy-corporation,8
verisign,netapp,17
garmin-international,nike,3
jacobs,waste-management,3
fedex,delta-air-lines,21
kimberly-clark,bank-of-america,9
microchip-technology,amd,14
cummins-inc,stryker,7
avery-dennison,edison-international,2
ross-stores,gap-inc-,23
kroger,h&r-block,14
citizens-bank,aflac,5
cognizant,texas-instruments,16
willis-towers-watson,fedex,1
general-motors,kimberly-clark,44
pepsico,ansys-inc,2
borgwarner,honeywell,5
activision,the-walt-disney-company,17
centurylink,cisco,25
chevron,copart,2
pfizer,cognizant,67
morgan-stanley,ups,12
mondelezinternational,facebook,4
vertex-pharmaceuticals,procter-&-gamble,3
rockwell-automation,google,5
verizon,stryker,8
autodesk,general-motors,7
at&t,alaska-airlines,10
gap-inc-,foot-locker,13
goldman-sachs,bb&t,3
the-clorox-company,gap-inc-,14
intel-corporation,unionpacific,3
northrop-grumman-corporation,kla-tencor,7
applied-materials,texas-instruments,44
abbott-,gartner,3
seagate-technology,applied-materials,25
mgm-resorts-international,citizens-bank,1
raytheon,keysight-technologies,3
the-estee-lauder-companies-inc-,procter-&-gamble,42
waste-management,amazon,14
mckesson,ups,16
viacom,accenture,18
nordstrom,tyson-foods,1
qualcomm,expedia,2
lyondell-basell,metlife,1
dish-network,walgreens,5
amgen,charter-communications,1
johnson-&-johnson,comcast,36
pfizer,state-street,9
ppl-corporation,nrg-energy,9
applied-materials,gap-inc-,13
alexion-pharmaceuticals,vertex-pharmaceuticals,6
fedex,citi,34
nike,mcdonald%27s-corporation,13
helmerich-&-payne,cimarex-energy,17
kla-tencor,lam-research,50
johnson-controls,adp,9
entergy,caterpillar-inc,2
accenture,hilton-worldwide,24
merck,colgate-palmolive,38
hp,broadcom,9
prudential-financial,colgate-palmolive,6
dish-network,adp,24
bny-mellon,boston-properties,1
aig,aflac,17
jpmorgan-chase,entergy,3
viacom,international-paper,4
humana,ge,21
discover-financial-services,the-kraft-heinz-company,6
halliburton,harris-corporation,2
micron-technology,the-home-depot,5
boeing,aig,5
citi,verisk-analytics,9
stryker,oracle,13
csx-transportation,jb-hunt-transport-services-inc,4
the-clorox-company,merck,6
wellcare,centene-corporation,20
jpmorgan-chase,amgen,21
intel-corporation,cerner-corporation,15
stryker,procter-&-gamble,12
waste-management,noble-energy,1
ge,xylem-inc-,10
state-street,perkinelmer,7
cisco,robert-half-international,10
bank-of-america,cboe,3
symantec,f5-networks,45
tsys,xerox,2
honeywell,fluor,17
unionpacific,fedex,4
jacobs,entergy,6
take-2-interactive-software-inc-,ralph-lauren,3
progressive-insurance,seagate-technology,1
flowserve,lockheed-martin,7
general-motors,snap-on-tools,4
sysco,ecolab,18
boston-scientific,us-bank,21
bny-mellon,marsh-&-mclennan-companies-inc-,10
comcast,nordstrom,13
amd,lam-research,23
wec-energy-group,ups,2
john-deere,halliburton,9
the-j-m--smucker-company,kellogg-company,11
xcel-energy,boeing,5
ebay,kla-tencor,7
ingersoll-rand,sysco,1
tiffany-and-co,hasbro,3
amerisourcebergen,best-buy,4
mckesson,conocophillips,3
devon-energy,national-oilwell-varco,3
ims-health,medtronic,13
caterpillar-inc,the-walt-disney-company,6
abbott-,darden-restaurants,2
harris-corporation,viacom,3
unionpacific,harley-davidson-motor-company,2
norfolk-southern,kansas-city-southern-railway,8
kohls-department-stores,h&r-block,30
the-walt-disney-company,whirlpool-corporation,3
stanley-black-decker-inc,pnc-bank,1
jpmorgan-chase,motorolasolutions,13
edison-international,bank-of-america,2
robert-half-international,pepsico,10
cintas,mcdonald%27s-corporation,3
boston-scientific,citrix,2
metlife,united-rentals,4
ingersoll-rand,charter-communications,2
ibm,dr-horton,6
the-walt-disney-company,foot-locker,5
ingersoll-rand,invesco-ltd,1
dish-network,ulta,2
dte-energy,mcdonald%27s-corporation,1
cf-industries,bristol-myers-squibb,2
agilent-technologies,facebook,2
celgene,sysco,1
rockwell-automation,zimmerbiomet,1
fluor,dte-energy,3
cadence-design-systems,western-union,1
coty,accenture,6
fedex,citizens-bank,3
fastenal,halliburton,7
ibm,flowserve,11
williams-company,cisco,4
general-motors,allergan,2
texas-instruments,mcdonald%27s-corporation,2
verizon,general-motors,24
harley-davidson-motor-company,te-connectivity,8
masco-corporation,hanesbrands-inc-,1
bd1,ims-health,4
electronic-arts,ims-health,3
humana,merck,9
applied-materials,nektar-therapeutics,3
progressive-insurance,unionpacific,2
amerisourcebergen,dish-network,1
stryker,perrigo,13
jefferies,allstate,2
hewlett-packard-enterprise,zoetis,2
assurant,lowe%27s-home-improvement,1
willis-towers-watson,atmos-energy,1
celgene,ups,2
pfizer,brown-forman,2
henry-schein,micron-technology,1
align-technology,jpmorgan-chase,1
stanley-black-decker-inc,jpmorgan-chase,3
duke-energy-corporation,colgate-palmolive,2
travelers,bny-mellon,4
marsh-&-mclennan-companies-inc-,the-home-depot,1
cognizant,mosaiccompany,1
3m,northrop-grumman-corporation,12
abbott-,tiffany-and-co,3
general-motors,prologis,1
people%27s-united-bank,pnc-bank,3
jacobs,marathon-oil-corporation,3
c-h-robinson,pfizer,1
pvh,citi,8
anthem,advance-auto-parts,1
boston-scientific,boston-properties,2
aig,bb&t,6
verizon,eli-lilly-and-company,10
ametek,agilent-technologies,3
jack-henry-&-associates,at&t,2
genuine-parts-company,suntrust-bank,5
comcast,etrade,3
international-paper,davita,2
charter-communications,google,7
harley-davidson-motor-company,fox-filmed-entertainment,1
eastman-chemical-company,microsoft,5
raytheon,eli-lilly-and-company,9
pentair,ford-motor-company,2
autodesk,micron-technology,10
american-airlines,citrix,1
ecolab,international-paper,2
caterpillar-inc,the-kraft-heinz-company,7
walgreens,consumers-energy,1
adp,caterpillar-inc,3
broadcom,american-express,2
mosaiccompany,stryker,1
teleflex,labcorp,3
tjx,comcast,6
bb&t,aflac,2
cboe,c-h-robinson,1
flowserve,bank-of-america,3
hp,thermo-fisher-scientific,7
general-motors,leggett-&-platt,2
alliant-energy,walmart,1
c-h-robinson,kohls-department-stores,2
mcdonald%27s-corporation,cf-industries,2
lam-research,cadence-design-systems,1
hologic,nektar-therapeutics,1
walmart,zoetis,3
the-coca-cola-company,cognizant,11
boeing,perkinelmer,1
hewlett-packard-enterprise,helmerich-&-payne,4
robert-half-international,hologic,2
bd1,darden-restaurants,1
electronic-arts,colgate-palmolive,1
flowserve,adp,2
keysight-technologies,nvidia,1
citi,tripadvisor,1
m&t-bank,maxim-integrated,1
halliburton,tractor-supply-company,2
nike,agilent-technologies,3
allegion-us,rockwell-automation,1
w.w.-grainger,dentsplysirona,1
applied-materials,ametek,1
symantec,bny-mellon,4
norfolk-southern,eaton-corporation,3
john-deere,thermo-fisher-scientific,3
cisco,idexx-laboratories,3
paychex,global-payments,2
dollar-general,citi,3
xylem-inc-,walmart,1
red-hat,electronic-arts,2
macy,first-republic-bank,3
wec-energy-group,kroger,1
ppl-corporation,eversourceenergy,2
align-technology,procter-&-gamble,1
western-union,insidepmi,3
ipg,state-street,1
under-armour,adobe,1
emerson,lyondell-basell,6
northrop-grumman-corporation,fis,5
citi,michael-kors,3
applied-materials,insidepmi,2
tiffany-and-co,unitedhealth-group,2
ebay,kimberly-clark,3
apple,autozone,2
john-deere,american-electric-power,2
exxonmobil,progressive-insurance,1
charter-communications,tjx,2
constellation-brands,oracle,1
texas-instruments,fifth-third-bank,1
marathon-oil-corporation,walmart,1
citrix,flowserve,1
regency-centers,prudential-financial,1
general-mills,ipg,2
centurylink,cintas,1
goldman-sachs,autodesk,2
cf-industries,flowserve,1
autozone,international-paper,6
iff,aig,2
costco-wholesale,electronic-arts,5
target,gilead-sciences,3
stryker,micron-technology,2
intuit,aig,2
us-bank,the-coca-cola-company,2
air-products,wellsfargo,5
tripadvisor,medtronic,2
viacom,tractor-supply-company,2
alliant-energy,principal-financial-group,1
progressive-insurance,exxonmobil,2
fiserv,mylan,2
darden-restaurants,pvh,1
bd1,cummins-inc,3
ims-health,general-mills,1
biogen-,accenture,3
delta-air-lines,the-linde-group,1
h&r-block,monster-energy_2,2
aflac,the-hershey-company,2
fox-filmed-entertainment,hilton-worldwide,2
costco-wholesale,m&t-bank,4
vf-corporation,foot-locker,1
marathon-petroleum-company,stryker,1
oracle,valero-energy-corporation,2
verizon,rockwell-automation,2
nike,general-dynamics,1
adm,nike,1
altria,american-airlines,4
unum,cvs-health,1
consumers-energy,kohls-department-stores,1
alexion-pharmaceuticals,merck,4
micron-technology,eli-lilly-and-company,1
mckesson,centurylink,2
public-storage,prologis,1
goldman-sachs,hilton-worldwide,1
williams-company,cvs-health,1
jpmorgan-chase,firstenergy-corp,4
global-payments,western-union,1
comcast,ppg-industries,1
mgm-resorts-international,kellogg-company,2
facebook,general-mills,2
abiomed,ibm,2
texas-instruments,franklin-templeton-investments,2
johnson-controls,labcorp,1
cf-industries,chevron,1
ims-health,the-hershey-company,1
chipotle-mexican-grill,american-airlines,1
charter-communications,copart,1
gap-inc-,chipotle-mexican-grill,3
brown-forman,bd1,2
fedex,salesforce,2
ups,teleflex,2
teleflex,duke-energy-corporation,1
paychex,simon-property-group,1
general-dynamics,pultegroup,1
lennar,intel-corporation,1
verisign,cerner-corporation,3
people%27s-united-bank,entergy,1
freeport-mcmoran-inc,gap-inc-,1
abbvie,unitedhealth-group,4
united-technologies,ups,1
abbvie,bank-of-america,1
under-armour,hp,1
cisco,copart,2
kimberly-clark,spglobal,1
symantec,the-coca-cola-company,1
limited-brands,w.w.-grainger,1
visa,boeing,3
verisk-analytics,stryker,1
maxim-integrated,gap-inc-,1
western-union,pentair,1
xylem-inc-,american-express,1
oracle,united-rentals,1
the-hartford,people%27s-united-bank,2
udr,hca,2
nucor-corporation,huntington-national-bank,1
raytheon,ametek,4
federal-realty-investment-trust,general-motors,1
merck,parker-hannifin,2
amazon,tyson-foods,1
danaher,western-digital,1
mondelezinternational,aes,1
baxter-healthcare,limited-brands,1
us-bank,lkq-corporation,1
dish-network,iron-mountain,1
consumers-energy,waste-management,1
the-home-depot,eversourceenergy,2
alcoa,the-walt-disney-company,2
baker-hughes,abbvie,1
verizon,norfolk-southern,3
applied-materials,celgene,1
principal-financial-group,mckesson,1
delta-air-lines,campbell-soup-company,1
lkq-corporation,ups,1
hp,williams-company,2
edwards-lifesciences,ims-health,1
microchip-technology,te-connectivity,1
kellogg-company,discover-financial-services,1
mckesson,wellcare,2
starbucks,zimmerbiomet,1
us-bank,tractor-supply-company,1
mcdonald%27s-corporation,netflix,1
kohls-department-stores,agilent-technologies,1
republic-services-inc,fluor,2
centene-corporation,target,1
varian-medical-systems,raytheon,1
royal-caribbean,capital-one,1
southwest-airlines,nielsen,1
lincoln-financial-group,zions-bancorporation,1
sysco,intuit,1
fox-filmed-entertainment,tjx,1
american-water,paypal,1
united-rentals,allergan,1
dollar-general,cigna,1
netapp,macerich,1
pultegroup,fluor,1
brown-forman,t--rowe-price,1
nielsen,allergan,1
campbell-soup-company,raytheon,1
idexx-laboratories,hologic,1
ametek,cvs-health,1
teleflex,altria,1
twitter,perkinelmer,1
citrix,john-deere,1
marsh-&-mclennan-companies-inc-,amd,1
atmos-energy,oneok,1
te-connectivity,akamai-technologies,1
baker-hughes,baxter-healthcare,1
alcoa,harley-davidson-motor-company,1
pultegroup,perrigo,2
google,michael-kors,1
newmont-mining-corporation,fmc-corporation,1
procter-&-gamble,citrix,1
blackrock,the-hartford,1
republic-services-inc,the-clorox-company,1
regions-financial-corporation,cummins-inc,1
ge,westrockcompany,1
adm,us-bank,1
western-union,ecolab,1
google,microsoft,1175
franklin-templeton-investments,adm,2
pfizer,weyerhaeuser,1
chevron,oxy,119
eaton-corporation,emerson,37
chevron,cummins-inc,6
cognizant,ibm,1791
at&t,ibm,2275
starbucks,nordstrom,386
kellogg-company,the-coca-cola-company,126
capital-one,pnc-bank,102
centerpoint-energy,ameren,2
cimarex-energy,devon-energy,6
texas-instruments,halliburton,53
ups,amerisourcebergen,8
discovery-communications,ibm,6
metlife,wellsfargo,137
cvs-health,h&r-block,19
o%27reilly-auto-parts,lkq-corporation,7
ross-stores,intuit,5
jpmorgan-chase,citizens-bank,204
sherwin-williams,pepsico,19
sherwin-williams,wellsfargo,21
pepsico,red-hat,3
accenture,general-motors,111
masco-corporation,sherwin-williams,1
dow-chemical,3m,40
xerox,intuit,20
accenture,eli-lilly-and-company,69
cerner-corporation,accenture,84
valero-energy-corporation,hess-corporation,9
whirlpool-corporation,stryker,41
seagate-technology,microsoft,27
northrop-grumman-corporation,morgan-stanley,26
the-hershey-company,te-connectivity,29
ups,csx-transportation,20
general-motors,the-home-depot,25
international-paper,ge,34
united-rentals,allstate,3
hess-corporation,fluor,6
autozone,dollar-general,34
broadcom,nvidia,79
walmart,charter-communications,40
us-bank,aflac,16
the-home-depot,dish-network,39
avery-dennison,chevron,3
whirlpool-corporation,walmart,22
southwest-airlines,ameriprise-financial-services-inc,3
fifth-third-bank,willis-towers-watson,5
gap-inc-,carmax,12
zoetis,abbott-,6
chubb,halliburton,1
nike,netapp,1
stryker,intel-corporation,15
goldman-sachs,verizon,20
the-walt-disney-company,jpmorgan-chase,45
avalonbay-communities,walgreens,1
mcdonald%27s-corporation,intel-corporation,22
cognizant,robert-half-international,6
johnson-&-johnson,baker-hughes,8
honeywell,baker-hughes,15
celgene,johnson-&-johnson,30
jacobs,sysco,2
raytheon,norfolk-southern,4
illumina,salesforce,2
the-coca-cola-company,fiserv,13
best-buy,national-oilwell-varco,9
american-airlines,wellsfargo,19
exxonmobil,amd,4
dow-chemical,target,17
newellbrands,pentair,7
marriott-international,baxter-healthcare,5
goldman-sachs,te-connectivity,3
lyondell-basell,albemarle,9
t--rowe-price,broadridge-financial-solutions,2
symantec,varian-medical-systems,7
cabot-oil-&-gas,conocophillips,6
cognizant,charter-communications,13
limited-brands,wellsfargo,21
wellsfargo,progressive-insurance,76
apple,abbott-,24
wellsfargo,hanesbrands-inc-,15
discovery-communications,lockheed-martin,8
jpmorgan-chase,f5-networks,5
xerox,ulta,3
medtronic,xcel-energy,8
air-products,bristol-myers-squibb,4
travelers,mondelezinternational,1
mcdonald%27s-corporation,metlife,12
amd,microchip-technology,16
perrigo,the-clorox-company,1
tiffany-and-co,honeywell,2
capital-one,the-hartford,8
cigna,nordstrom,2
dominion,apple,1
hewlett-packard-enterprise,teleflex,4
cbre,procter-&-gamble,4
avery-dennison,newellbrands,16
symantec,charles-schwab,5
broadcom,at&t,13
pepsico,sysco,66
merck,hewlett-packard-enterprise,55
alcoa,advance-auto-parts,2
kla-tencor,oracle,21
marathon-oil-corporation,conocophillips,81
pnc-bank,eaton-corporation,15
google,target,36
hilton-worldwide,comerica-bank,2
kohls-department-stores,ralph-lauren,23
applied-materials,boston-scientific,19
jpmorgan-chase,aon,38
cisco,american-airlines,17
paypal,target,14
spglobal,cardinal-health,10
jpmorgan-chase,duke-energy-corporation,7
procter-&-gamble,the-cincinnati-insurance-companies,8
applied-materials,at&t,11
google,progressive-insurance,4
halliburton,amgen,2
anthem,hca,10
costco-wholesale,t--rowe-price,2
aimco,unitedhealth-group,3
wellsfargo,cerner-corporation,20
johnson-controls,exelon,7
nike,ford-motor-company,18
cadence-design-systems,pfizer,1
western-union,nasdaq-omx,15
global-payments,bny-mellon,1
prudential-financial,mckesson,3
unum,bank-of-america,7
oracle,northern-trust,10
allstate,delta-air-lines,6
charles-schwab,walmart,4
the-estee-lauder-companies-inc-,jpmorgan-chase,23
aon,wellsfargo,47
marathon-oil-corporation,exxonmobil,54
costco-wholesale,mohawk-industries,2
hewlett-packard-enterprise,waste-management,26
zimmerbiomet,bristol-myers-squibb,17
google,cme-group,3
lockheed-martin,martin-marietta-materials,11
us-bank,hilton-worldwide,3
wellsfargo,norfolk-southern,6
pfizer,dentsplysirona,20
capital-one,halliburton,5
waste-management,national-oilwell-varco,4
at&t,dollar-general,15
national-oilwell-varco,anadarko-petroleum-corporation,6
hanesbrands-inc-,aon,4
cvs-health,northern-trust,12
the-clorox-company,avery-dennison,6
electronic-arts,macy,5
ulta,duke-energy-corporation,1
h&r-block,marsh-&-mclennan-companies-inc-,3
american-airlines,harley-davidson-motor-company,2
yum-brands,blackrock,1
amazon,westrockcompany,3
devon-energy,mastercard,2
blackrock,t--rowe-price,7
mastercard,metlife,7
fiserv,the-linde-group,1
align-technology,thermo-fisher-scientific,3
the-linde-group,jacobs,5
dish-network,pepsico,9
boeing,amerisourcebergen,2
thermo-fisher-scientific,danaher,10
pultegroup,stryker,2
biogen-,oracle,7
general-motors,verisign,1
colgate-palmolive,abbvie,2
united-technologies,harris-corporation,14
viacom,kimberly-clark,1
general-motors,edwards-lifesciences,1
amgen,mckesson,7
hp,charles-schwab,7
3m,electronic-arts,6
texas-instruments,united-technologies,11
best-buy,dollar-tree-stores,16
borgwarner,xerox,6
biogen-,verizon,2
fiserv,centurylink,4
bny-mellon,firstenergy-corp,4
robert-half-international,facebook,2
ralph-lauren,fiserv,2
colgate-palmolive,state-street,5
walmart,allergan,2
vf-corporation,insidepmi,1
nisource,nasdaq-omx,2
autozone,copart,3
the-linde-group,bank-of-america,4
wellcare,abbott-,1
bb&t,ihs,1
franklin-templeton-investments,nextera-energy-resources,2
davita,fis,2
expeditors,expedia,3
unitedhealth-group,arthur-j--gallagher-and-co,8
american-express,verisign,5
tjx,adp,4
dovercorp,at&t,2
h&r-block,intel-corporation,8
charles-schwab,henry-schein,2
equifax,kroger,1
chevron,travelers,4
williams-company,verizon,6
citi,pultegroup,4
duke-energy-corporation,thermo-fisher-scientific,2
walmart,w.w.-grainger,14
intel-corporation,vf-corporation,2
snap-on-tools,target,3
baker-hughes,intel-corporation,9
mosaiccompany,honeywell,4
sysco,etrade,1
w.w.-grainger,the-walt-disney-company,2
danaher,salesforce,1
boston-scientific,hp,5
intel-corporation,henry-schein,2
dollar-tree-stores,suntrust-bank,2
boeing,mcdonald%27s-corporation,10
cme-group,mastercard,2
expeditors,johnson-&-johnson,3
stryker,autozone,1
gilead-sciences,macy,1
applied-materials,capital-one,2
varian-medical-systems,ford-motor-company,3
broadridge-financial-solutions,raymond-james-financial-inc-,3
general-dynamics,tjx,2
capital-one,autozone,2
chevron,state-street,2
spglobal,church-&-dwight-co-inc,1
ford-motor-company,red-hat,2
schlumberger,netflix,1
ameriprise-financial-services-inc,gilead-sciences,3
ihs,w.w.-grainger,2
verizon,everest-reinsurance,3
stanley-black-decker-inc,hess-corporation,1
waste-management,c-h-robinson,2
ups,blackrock,1
the-linde-group,zimmerbiomet,1
kellogg-company,united-rentals,1
pnc-bank,avery-dennison,3
kellogg-company,american-express,7
american-electric-power,dentsplysirona,2
coty,kimberly-clark,9
cintas,halliburton,4
chipotle-mexican-grill,procter-&-gamble,1
costco-wholesale,bny-mellon,1
h&r-block,charter-communications,3
lowe%27s-home-improvement,snap-on-tools,3
exxonmobil,western-union,1
comerica-bank,united-airlines,5
alliant-energy,harris-corporation,1
campbell-soup-company,lincoln-financial-group,4
sempra-energy,robert-half-international,1
pentair,illumina,1
darden-restaurants,lkq-corporation,1
waste-management,spglobal,2
fedex,western-digital,1
southern-company,principal-financial-group,2
caterpillar-inc,bny-mellon,3
eaton-corporation,abbott-,10
alcoa,exxonmobil,3
tractor-supply-company,perrigo,4
itw,at&t,1
procter-&-gamble,national-oilwell-varco,12
american-express,fmc-corporation,1
abbott-,discovery-communications,1
exxonmobil,spglobal,2
weyerhaeuser,f5-networks,2
abiomed,stryker,2
fastenal,johnson-controls,6
ford-motor-company,hca,1
google,keybank,1
assurant,hewlett-packard-enterprise,3
fox-filmed-entertainment,coty,3
nasdaq-omx,unitedhealth-group,2
centerpoint-energy,honeywell,1
weyerhaeuser,conocophillips,7
advance-auto-parts,united-airlines,1
3m,centerpoint-energy,5
nielsen,cme-group,5
dow-chemical,bb&t,2
xerox,the-hershey-company,5
mcdonald%27s-corporation,huntington-national-bank,4
amazon,chubb,2
darden-restaurants,american-express,2
gilead-sciences,varian-medical-systems,1
fifth-third-bank,chipotle-mexican-grill,1
baxter-healthcare,hasbro,3
oracle,the-cincinnati-insurance-companies,1
boeing,ipg,1
prudential-financial,emerson,2
insidepmi,church-&-dwight-co-inc,1
jpmorgan-chase,jacobs,3
microsoft,moodys-corporation,1
ibm,dollar-general,1
southern-company,capital-one,2
stanley-black-decker-inc,starbucks,1
vornado-realty-trust,ralph-lauren,1
verisk-analytics,h&r-block,1
unitedhealth-group,red-hat,1
dominion,facebook,1
ingersoll-rand,eog-resources,1
hormel-foods,morgan-stanley,1
apache-corporation,kinder-morgan,2
perrigo,lockheed-martin,3
cbs-com,suntrust-bank,1
cognizant,kroger,3
bd1,garmin-international,1
nrg-energy,3m,3
monster-energy_2,kellogg-company,1
parker-hannifin,delta-air-lines,1
fastenal,prudential-financial,5
jack-henry-&-associates,adp,2
capital-one,delta-air-lines,5
national-oilwell-varco,w.w.-grainger,1
capital-one,thermo-fisher-scientific,3
stryker,the-hershey-company,2
fis,regency-centers,2
edison-international,hess-corporation,1
starbucks,nrg-energy,1
nektar-therapeutics,prologis,1
expeditors,netapp,2
aflac,mohawk-industries,2
amd,stryker,2
valero-energy-corporation,google,1
weyerhaeuser,american-express,2
abbvie,w.w.-grainger,5
general-dynamics,broadcom,2
discover-financial-services,sysco,1
medtronic,fifth-third-bank,2
wellsfargo,juniper-networks,5
genuine-parts-company,mckesson,2
flowserve,texas-instruments,4
comerica-bank,national-oilwell-varco,2
eaton-corporation,hess-corporation,1
xerox,intuitive-surgical,1
southern-company,baker-hughes,1
juniper-networks,franklin-templeton-investments,1
ppg-industries,unum,1
adm,state-street,2
ge,norwegian-cruise-line,1
the-hartford,northrop-grumman-corporation,2
netapp,allstate,2
baxter-healthcare,lincoln-financial-group,1
robert-half-international,regeneron-pharmaceuticals,1
flowserve,oracle,2
ralph-lauren,google,2
discover-financial-services,extra-space-storage,1
nike,unum,1
aflac,the-linde-group,1
starbucks,spglobal,1
hilton-worldwide,halliburton,5
fifth-third-bank,international-paper,1
amgen,air-products,2
cbre,gartner,1
delta-air-lines,gilead-sciences,1
aes,suntrust-bank,1
ameren,general-dynamics,1
verisign,exxonmobil,2
fiserv,blackrock,5
ameriprise-financial-services-inc,chubb,2
parker-hannifin,hologic,1
yum-brands,allergan,3
hanesbrands-inc-,apple,1
henry-schein,spglobal,1
dentsplysirona,cvs-health,1
arthur-j--gallagher-and-co,gap-inc-,1
vf-corporation,viacom,2
costco-wholesale,activision,1
western-digital,thermo-fisher-scientific,2
conocophillips,fedex,1
constellation-brands,kellogg-company,1
john-deere,qualcomm,1
walmart,cimarex-energy,1
kimberly-clark,molson-coors,2
pentair,ppg-industries,2
gilead-sciences,hca,1
nielsen,conocophillips,2
netapp,unionpacific,1
northrop-grumman-corporation,o%27reilly-auto-parts,1
ameren,williams-company,1
zimmerbiomet,kinder-morgan,1
textron,fiserv,1
cintas,willis-towers-watson,1
lowe%27s-home-improvement,nisource,1
amgen,weyerhaeuser,2
raytheon,micron-technology,3
us-bank,the-hershey-company,1
lyondell-basell,applied-materials,1
the-kraft-heinz-company,cf-industries,3
john-deere,amgen,1
jacobs,fox-filmed-entertainment,1
jb-hunt-transport-services-inc,kroger,1
fmc-corporation,google,1
sba-communications,eaton-corporation,1
varian-medical-systems,lowe%27s-home-improvement,1
raytheon,american-express,4
general-dynamics,flir-systems,1
ups,the-hershey-company,3
o%27reilly-auto-parts,cigna,1
aes,bank-of-america,1
us-bank,mosaiccompany,1
devon-energy,applied-materials,1
keysight-technologies,cadence-design-systems,1
fastenal,lkq-corporation,1
air-products,aflac,1
duke-realty-corporation,cintas,1
robert-half-international,freeport-mcmoran-inc,1
chevron,keybank,1
oxy,dollar-tree-stores,1
equinix,kohls-department-stores,1
altria,unitedhealth-group,1
kansas-city-southern-railway,jpmorgan-chase,1
hologic,schlumberger,1
dow-chemical,anadarko-petroleum-corporation,1
blackrock,illumina,1
xcel-energy,noble-energy,1
citizens-bank,hca,1
broadcom,qualcomm,615
broadcom,intel-corporation,419
morgan-stanley,blackrock,342
cardinal-health,mylan,13
target,the-home-depot,907
cbre,hewlett-packard-enterprise,24
danaher,citi,3
xerox,western-union,5
alcoa,the-kraft-heinz-company,13
starbucks,us-bank,90
northrop-grumman-corporation,microsoft,85
lowe%27s-home-improvement,bank-of-america,245
the-clorox-company,copart,3
boston-scientific,apple,40
robert-half-international,nordstrom,14
